customer_name,highest_order_value
"Thea Hendricks",1502.376
"Michelle Moray",765.625
"Neola Schneider",887.271
"Robert Barroso",58.58
"Shaun Weien",1217.568
"Eric Barreto",526.344
"Pamela Stobb",399.54
"Herbert Flentye",556.665
"Henia Zydlo",723.92
"Cynthia Delaney",868.59
"Jamie Kunitz",1871.88
"Filia McAdams",1048.35
"Emily Ducich",2621.322
"Dianna Arnett",40.08
"Joni Wasserman",304.45
"Raymond Messe",542.94
"Max Ludwig",663.936
"Craig Carroll",991.2
"Jim Epp",2999.95
"Roy Phan",699.98
"Thomas Boland",2249.91
"Brad Eason",848.544
"Jill Fjeld",1599.92
"Phillip Breyer",69.93
"Brian Thompson",998.85
"Janet Lee",751.984
"Cathy Hwang",1127.976
"Neil Ducich",1347.52
"Barbara Fisher",314.55
"Katharine Harms",833.94
"Giulietta Weimer",631.176
"Noah Childs",727.45
"Michelle Ellison",801.568
"Benjamin Patterson",1022.97
"John Castell",705.544
"Adam Shillingsburg",1024.38
"Amy Cox",1793.98
"Michael Dominguez",909.12
"Duane Benoit",594.816
"Erica Hackney",327.996
"Edward Hooks",4912.59
"Scot Coram",2887.056
"Joe Elijah",2563.056
"Ann Chong",1282.41
"Joy Daniels",132.6
"Christy Brittain",1439.976
"Joy Smith",600.558
"Luke Weiss",3785.292
"Stuart Calhoun",159.984
"Anne McFarland",1604.9
"Rick Huthwaite",3357.6
"Carol Triggs",872.32
"Matt Collister",1218.735
"Corey Catlett",1202.94
"Kelly Andreada",321.568
"Tamara Chand",17499.95
"Bart Folk",94.85
"Magdelene Morse",631.782
"Adrian Hane",377.45
"Ben Wallace",806.336
"Scot Wooten",239.358
"Brian Stugart",1297.368
"Randy Ferguson",1263.3
"William Brown",895.92
"Trudy Brown",1079.316
"Art Ferguson",662.84
"Richard Bierner",735.98
"Karen Ferguson",4158.912
"John Huston",228.92
"Ivan Liston",1454.49
"Patrick Bzostek",199.9
"Rob Haberlin",435.504
"Arthur Wiediger",1117.92
"Maris LaWare",832.93
"Dorothy Badders",942.784
"Matt Hagelstein",1145.6
"Dennis Kane",965.85
"Bobby Trafton",353.568
"Denny Blanton",526.45
"Toby Gnade",1016.792
"Barry Franz",659.976
"Justin MacKendrick",826
"Maria Zettner",371.97
"Mitch Webber",1349.91
"Mark Van Huff",415.872
"Sean Miller",22638.48
"Tom Prescott",4416.174
"Jim Karlsson",843.9
"Patrick Jones",826.11
"Ricardo Sperren",1133.35
"Susan Vittorini",552
"Becky Castell",681.408
"Elizabeth Moffitt",492.768
"Brendan Murry",231.98
"Kristina Nunn",1137.75
"Kelly Williams",212.94
"Scott Cohen",1552.831
"Christina VanderZanden",1184.72
"Speros Goranitis",1619.91
"Tamara Manning",1406.86
"Eleni McCrary",1348.704
"Michelle Lonsdale",595
"Clay Rozendal",1673.184
"Annie Zypern",557.728
"Pierre Wener",2541.98
"Shahid Collister",1781.682
"Carlos Meador",451.136
"Greg Maxwell",4164.05
"Tim Brockman",631.96
"John Murray",4548.81
"Sonia Cooley",647.84
"Luke Schmidt",605.34
"Ralph Ritter",520.464
"Daniel Byrd",915.136
"Thomas Thornton",537.544
"Lori Olson",247.44
"Ken Dana",717.72
"Nicole Brennan",143.952
"Brian Derr",232.4
"Chris McAfee",1399.944
"Edward Nazzal",1349.85
"Kean Nguyen",1075.088
"Bill Overfelt",1592.85
"Aleksandra Gannaway",230.28
"Matthew Clasen",449.15
"Tom Ashbrook",11199.968
"Jason Fortune-",220.96
"Tim Taslimi",323.1
"Sarah Bern",858.24
"Craig Leslie",1325.76
"Hunter Glantz",1999.96
"Nancy Lomonaco",590.352
"Rick Reed",1325.85
"Toby Carlisle",1628.82
"Stewart Visinsky",844.116
"Bobby Elias",1649.75
"Steve Carroll",821.94
"David Flashing",1439.968
"Fred Harton",799.96
"MaryBeth Skach",301.96
"Ritsa Hightower",704.76
"George Ashbrook",1447.65
"Julie Prescott",481.32
"Dean percer",2321.9
"Michael Oakman",50.12
"Denise Leinenbach",393.54
"Michelle Huthwaite",1504.52
"Daniel Raglin",5399.91
"Darrin Martin",2799.96
"Carol Adams",1999.96
"Anna Chung",201.584
"Denise Monton",2690.97
"Vicky Freymann",634.116
"Christopher Conant",8399.976
"Beth Fritzler",361.376
"Harry Greene",314.352
"Becky Pak",989.97
"Eugene Moren",1499.95
"Michelle Arnett",1603.136
"Andy Yotov",97.184
"Giulietta Baptist",1690.04
"Julia Barnett",1267.65
"Michael Grace",796.425
"Sharelle Roach",2549.985
"Joy Bell-",327.7328
"Dario Medina",795.408
"Tony Chapman",411.8
"Sean Wendt",517.9
"Richard Eichhorn",239.9
"Benjamin Farhat",692.94
"Katrina Bavinger",419.4
"Jason Gross",695.16
"Erin Creighton",249.95
"Eugene Barchas",1199.976
"Jennifer Patt",1040.8
"Cari Sayre",963.136
"Gary Hansen",1001.584
"Pete Takahito",93.456
"Jack Lebron",934.956
"Aaron Hawkins",668.16
"Cindy Chapman",686.4
"David Wiener",318.43
"Sarah Jordon",317.058
"Bruce Geld",486.368
"Laurel Beltran",1112.94
"Candace McMahon",572.58
"Evan Henry",588.784
"Tony Sayre",662.88
"Patrick Ryan",568.728
"Liz Carlisle",866.4
"Cindy Schnelling",562.2925
"Dave Hallsten",1087.936
"Jack O'Briant",1565.88
"Anna H�berlin",2275.5
"Heather Jas",163.88
"Mark Hamilton",1424.9
"Russell D'Ascenzo",623.96
"Sam Craven",577.584
"Stephanie Ulpright",959.984
"Fred Chung",1640.7
"Randy Bradley",657.93
"Nick Crebassa",4799.984
"Darren Budd",866.646
"Maureen Fritzler",551.985
"Roland Murray",71.97
"Vivian Mathis",129.98
"Ed Jacobs",1049.44
"Nathan Cano",1525.188
"Lycoris Saunders",197.372
"Katrina Edelman",599.9
"Duane Huffman",411.332
"Peter Fuller",4228.704
"Valerie Takahito",563.808
"Maureen Gnade",835.17
"Susan Pistek",1537.074
"Charles Sheldon",285.48
"Dana Kaydos",860.93
"Khloe Miller",196.776
"Anna Andreadi",1323.9
"Dorothy Dickinson",79.984
"Amy Hunt",1352.3976
"Tracy Poddar",650.352
"Eileen Kiefer",1198.33
"Cyra Reiten",438.336
"Susan Gilcrest",19.648
"Angele Hood",383.96
"Neil Franz�sisch",269.98
"Bill Shonely",9099.93
"Stefanie Holloman",1403.92
"Roger Demir",268.704
"Alex Grayson",182.55
"Georgia Rosenberg",1025.88
"Vivek Sundaresam",602.651
"Tony Molinari",543.92
"Tom Stivers",1367.84
"Dennis Bolton",434.646
"Nick Radford",503.96
"Cari Schnelling",479.984
"Monica Federle",494.97
"Liz Willingham",756.8
"Alex Russell",523.764
"Karen Seio",48.784
"Aaron Bergman",341.96
"Lisa Ryan",791.964
"Shahid Shariari",1252.704
"Jill Matthias",105.552
"Jason Klamczynski",267.96
"Don Miller",772.68
"Muhammed Lee",79.98
"Marc Harrigan",776.85
"Frank Carlisle",1927.59
"Thea Hudgings",1554.936
"Juliana Krohn",2479.96
"Sarah Brown",2973.32
"Barry Gonzalez",1369.764
"Barry Weirich",324.744
"Mitch Gastineau",12.32
"Doug O'Connell",302.94
"Barry Pond",563.4
"Trudy Schmidt",913.43
"Evan Minnotte",298.116
"Anthony O'Donnell",161.28
"Mark Haberlin",241.5
"Shirley Schmidt",279.86
"Lela Donovan",5.304
"Victoria Pisteka",1875.258
"Theresa Coyne",512.96
"Ionia McGrath",2799.96
"Anemone Ratner",51.75
"Craig Molinari",1227.9984
"Fred Wasserman",43.6
"Lindsay Castell",2676.672
"Harold Engle",174.95
"Brendan Dodson",151.96
"Harold Dahlen",104.58
"Carl Jackson",16.52
"Roy Skaria",9.648
"Sung Chung",237.096
"Ricardo Emerson",48.36
"Susan MacKendrick",431.976
